iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
JPN,1996,-0.07996707760507005,-0.5284412551133548,Inf,-0.7713233660986902,0.3410534289496938
JPN,1997,-0.20146871695250423,-0.7220388186010553,Inf,-0.820065651784246,0.16948359680928382
JPN,1998,-0.21549160711764082,-0.6550362731793458,Inf,-0.9064989191430199,0.14860275667293665
JPN,1999,-0.4291364670774296,-0.8203609674383388,Inf,-1.2449646130042664,-0.06541971800391111
JPN,2000,-0.6178467364908705,-1.094976766462231,Inf,-1.41835137010668,-0.23307471621718867
JPN,2001,-0.5920891842626566,-1.1267818237023794,0.3966924666872893,-1.3386404925208615,-0.218931190472472
JPN,2002,-0.5511772072360825,-1.0374395874651314,0.3522294901484193,-1.3523320689587954,-0.1546590825771641
JPN,2003,-0.582608903273435,-1.03092833985696,0.3428427309517874,-1.444756218667878,-0.17864785271443884
MEX,1993,NA,-2.2717331041459046,NA,-1.636863541981648,NA
MEX,1994,NA,-2.3665078294720807,NA,-1.5071480767584298,NA
MEX,1995,-0.865711566673016,-1.9718275023327458,Inf,-0.9294987646914366,-0.6689300301972927
MEX,1996,-1.1558365150556318,-2.280420700971859,Inf,-1.1629948773643721,-1.0496697765591678
MEX,1997,-1.527073332551659,-2.5594857518808904,Inf,-1.5580198000601027,-1.4223366676776994
MEX,1998,-1.8111361742588197,-2.8038194943893666,Inf,-1.7895677992788044,-1.743402805635218
MEX,1999,-2.1074786840297897,-3.2622197574202962,Inf,-2.0677267557954817,-2.0501089062068183
MEX,2000,-2.5272130108240662,-3.713796230788816,Inf,-2.4688407654144164,-2.4888846559812343
MEX,2001,-2.1789773131448227,-2.78476971955528,-2.12607513018995,-1.7662469304080044,-2.524744769018085
MEX,2002,-2.205985943387258,-2.812840529848926,-2.319136098179297,-1.747312106395882,-2.627862907117687
MEX,2003,-2.162351442701013,-2.6275281322198154,-2.493019608669144,-1.6288210118699462,-2.6843915687534894
NLD,1993,1.1757217464875869,1.6347206853467526,Inf,1.4048945751170108,1.2115262374465976
NLD,1994,1.1146499284442037,1.580025784233584,Inf,1.3808367875295717,1.1142222914451478
NLD,1995,1.163232834283841,1.5772370483644285,Inf,1.2865922005040191,1.194762344672003
NLD,1996,1.1894821443673422,1.4961231618188338,Inf,1.311615709258771,1.186860950093132
NLD,1997,1.1622220040257267,1.4057849309046053,Inf,1.232836068499904,1.190752924872517
NLD,1998,1.1735659558258003,1.3882130605757386,Inf,1.1523049707116662,1.2692827013928922
NLD,1999,1.1385357337474389,1.3811666858991605,Inf,1.128567011925661,1.2256970075944857
NLD,2000,1.1520015495300244,1.347194648559562,Inf,1.140256471427094,1.2378272960834513
NLD,2001,1.0557448680711041,1.2203291341099298,1.266474779739894,1.0695212046128688,1.118367693696317
NLD,2002,1.05730131232676,1.1682674444228904,1.3162295916714961,1.0731608714398702,1.1256997880573483
NLD,2003,1.8568383200251204,1.2766496289056175,1.3658971772919564,2.453701920525689,1.1926842072934845
NZL,1993,0.2148527283299253,-0.8417301001557043,Inf,0.9827835882311109,-1.3862228980596072
