"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev_non_ppp","eq_ehb_crude_dev_non_ppp","debt_ehb_crude_dev_non_ppp","fdi_ehb_crude_dev_non_ppp","eq_debt_ehb_crude_dev_non_ppp","time"
"DNK",1999,5319111,2292741993.59254,2268581904.75129,431.038568962471,426.496439865852,0.0179502617905927,0.0216926467879368,0.0203275958208504,0.0202952471772466,-0.00237733403025775,0.00139739961069019,-0.129263225322112,0.211978365316638,0.700812225524286,0.15484535518014,0.417571254084675,0.222055760923576,1
"DNK",2000,5337344,2380669450.15691,2326439402.90744,446.040099749409,435.879606580996,0.0342112844785447,0.0217620539508845,0.0261166437776845,0.0293960548351491,0.00809464070086019,-0.00763400088426458,-0.0920810964766128,0.328705359459048,0.780323941455405,0.177128182845632,0.642064484236337,0.261338897635023,2
"DNK",2001,5355082,2407501481.71904,2372010283.53152,449.573224409829,442.945651164915,0.00788988482699438,0.0160810053955487,0.00303976255030847,0.0038019078815763,0.00485012227668591,0.0122790975139724,-0.116689694550987,0.239258581111537,0.595825358211949,0.0732678208087119,0.588295094618565,0.138327298698505,3
"DNK",2002,5374255,2417662377.14915,2387605153.91437,449.860004251595,444.267187529131,0.000637690141625846,0.0029790762350439,0.00568943842718639,0.00382292913555471,-0.00505174828556054,-0.000843852900510811,-0.0596989123677399,0.194214738513093,0.341942294340378,0.121418873253957,0.530137668504051,0.097512962374658,4
"DNK",2003,5387174,2414515364.65762,2392934133.73575,448.197025872492,444.190986542433,-0.00370350706937206,-0.00017153533865244,0.0110416401145388,0.0103800031386667,-0.0147451471839108,-0.0105515384773192,-0.0259461417872773,0.161485284679677,0.337521792506411,0.167691810153779,0.380442980543359,0.136053506388718,5
"ESP",1993,39356082,10565103639.5016,10477777312.9757,268.449070705299,266.230193162411,-0.0159756207232338,-0.0119750487527135,-0.00340563508537883,-0.00388240817350027,-0.0125699856378549,-0.00809264057921322,0.112342346837688,-0.30598909889981,-1.06681613248922,-0.0178269256887913,-0.5409292473315,-0.143089327050728,-5
"ESP",1994,39547353,10730271199.8006,10502604387.548,271.32716568415,265.570350246906,0.0106641310246722,-0.00248154411383972,0.0187885389977023,0.0188164926266712,-0.00812440797303005,-0.0212980367405109,0.118990152343145,-0.349834917803918,-0.989453893720995,-0.0972875313875734,-0.468593983184794,-0.214927603157577,-4
"ESP",1995,39718895,11053474077.3648,10960388930.5728,278.292587882035,275.94898928011,0.0253476884412871,0.0383362489223709,0.0158487713628999,0.0144459526849436,0.00949891707838724,0.0238902962374272,0.121754482512096,-0.293400368188458,-1.05622749873082,0.0039164781863128,-0.538944013702601,-0.131003774996822,-3
"ESP",1996,39884246,11338881276.6155,11174357992.7658,284.294738243654,280.169718960358,0.0213384761014881,0.0151795314985712,0.0148317097559252,0.0178701593677086,0.00650676634556291,-0.00269062786913743,0.134103811427884,-0.451007290751163,-1.16326440600491,-0.179958691703806,-0.570459285524395,-0.331544705279495,-2
"ESP",1997,40049974,11802538159.9746,11658438104.676,294.695276455726,291.097270242324,0.0359303505756667,0.038261914634254,0.0186296603121461,0.022191209762874,0.0173006902635207,0.01607070487138,0.113678111760084,-0.426223090707751,-0.655545562633624,-0.214340157494187,-0.449442587669903,-0.337191684993945,-1
